Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,date
Lauri Markkanen,27,PF,47,47,31.4,6.3,14.9,.423,2.9,8.5,.346,3.4,6.4,.525,.521,3.4,3.9,.876,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0,,2025-04-06
Keyonte George,21,PG,63,32,31.1,5.3,13.5,.393,2.6,7.5,.343,2.7,6.0,.455,.488,3.4,4.2,.811,0.4,3.3,3.8,5.6,0.7,0.1,2.6,1.7,16.6,,2025-04-06
John Collins,27,PF,40,31,30.5,7.0,13.3,.527,1.5,3.7,.399,5.5,9.6,.577,.583,3.5,4.1,.848,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0,,2025-04-06
Walker Kessler,23,C,58,58,30.0,4.8,7.2,.663,0.1,0.6,.176,4.7,6.6,.706,.671,1.4,2.6,.520,4.6,7.6,12.2,1.7,0.6,2.4,1.5,2.2,11.1,,2025-04-06
Collin Sexton,26,SG,61,59,27.9,6.6,13.7,.479,1.8,4.3,.405,4.8,9.4,.513,.543,3.4,4.0,.863,1.0,1.8,2.7,4.1,0.7,0.1,2.6,2.3,18.3,,2025-04-06
Jordan Clarkson,32,SG,37,9,26.0,5.4,13.3,.408,2.3,6.3,.362,3.2,7.1,.448,.493,3.1,3.9,.797,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2,,2025-04-06
Isaiah Collier,20,PG,70,45,25.8,3.3,7.7,.421,0.6,2.4,.248,2.7,5.4,.497,.459,1.4,2.1,.678,0.5,2.9,3.3,6.2,0.9,0.2,2.9,2.1,8.5,,2025-04-06
Taylor Hendricks,21,PF,3,3,25.0,1.3,6.0,.222,1.0,4.0,.250,0.3,2.0,.167,.306,1.0,1.3,.750,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7,,2025-04-06
KJ Martin,24,SF,19,9,22.7,2.6,5.4,.490,0.4,1.9,.189,2.3,3.4,.662,.525,0.7,0.9,.722,0.5,2.3,2.8,1.5,0.3,0.3,0.6,2.1,6.3,,2025-04-06
Cody Williams,20,SG,50,21,21.2,1.7,5.1,.323,0.7,2.7,.259,1.0,2.4,.393,.391,0.6,0.8,.725,0.5,1.7,2.3,1.2,0.5,0.3,0.9,1.9,4.6,,2025-04-06
Kyle Filipowski,21,C,68,23,20.6,3.4,6.8,.497,1.1,3.0,.358,2.3,3.9,.602,.574,1.3,2.0,.644,1.5,4.4,5.8,1.9,0.6,0.2,1.4,2.3,9.1,,2025-04-06
Brice Sensabaugh,21,SF,67,11,19.3,3.7,8.1,.458,2.0,4.9,.416,1.7,3.2,.524,.585,0.8,0.9,.887,0.6,2.3,2.8,1.4,0.6,0.1,1.4,1.5,10.3,,2025-04-06
Svi Mykhailiuk,27,SF,34,13,19.1,2.9,7.8,.368,1.8,5.3,.331,1.1,2.5,.447,.481,0.7,0.8,.821,0.6,1.7,2.3,1.9,0.5,0.2,1.4,1.2,8.2,,2025-04-06
Johnny Juzang,23,SG,60,14,19.0,3.1,7.2,.427,1.7,4.7,.367,1.3,2.4,.541,.548,0.7,0.8,.837,0.7,2.2,2.8,1.0,0.5,0.1,0.5,1.9,8.5,,2025-04-06
Micah Potter,26,C,34,10,17.9,1.5,3.4,.443,0.9,2.4,.361,0.6,0.9,.656,.574,0.5,0.5,.889,1.1,3.1,4.2,0.8,0.4,0.3,0.8,1.3,4.4,,2025-04-06
Oscar Tshiebwe,25,C,11,1,16.9,2.1,3.5,.590,0.0,0.0,,2.1,3.5,.590,.590,1.5,1.8,.800,2.7,5.1,7.8,0.6,0.8,0.0,0.5,1.6,5.6,,2025-04-06
Drew Eubanks,27,C,37,4,15.4,2.4,3.9,.607,0.1,0.1,.600,2.3,3.8,.607,.617,1.0,1.5,.632,1.1,3.5,4.5,1.2,0.3,0.9,0.8,1.2,5.8,,2025-04-06
Patty Mills,36,PG,17,0,15.3,1.5,4.5,.342,1.0,3.4,.298,0.5,1.1,.474,.454,0.3,0.3,1.000,0.2,1.1,1.2,1.2,0.7,0.2,0.9,0.7,4.4,,2025-04-06
Elijah Harkless,24,SG,10,0,13.8,1.1,3.5,.314,0.7,2.5,.280,0.4,1.0,.400,.414,0.3,0.6,.500,0.9,1.2,2.1,0.8,1.0,0.1,0.3,1.8,3.2,,2025-04-06
Jaden Springer,22,PG,13,0,10.5,1.2,2.6,.471,0.3,1.3,.235,0.9,1.3,.706,.529,0.8,1.2,.667,0.6,0.9,1.5,1.2,0.6,0.2,0.6,1.2,3.5,,2025-04-06
Team Totals,,,78,78,241.3,40.1,88.4,.454,13.8,39.5,.349,26.3,48.9,.539,.532,17.4,22.5,.772,11.9,33.4,45.4,25.5,6.6,4.4,17.3,18.9,111.4,,2025-04-06
